"Date","Price","Open","High","Low","Vol.","Change %"
"10/06/2022","90.90","83.60","85.28","82.10","18.13K","-0.36%"
"10/05/2022","91.23","88.26","90.52","83.20","25.91K","-5.11%"
"10/04/2022","96.14","84.37","88.20","84.31","20.44K","4.34%"
"10/03/2022","92.14","85.39","86.18","82.70","20.23K","-1.16%"
"09/30/2022","93.22","93.00","93.00","93.00","0.00K","7.01%"
"09/29/2022","87.11","88.50","88.93","85.00","20.65K","-3.68%"
"09/28/2022","90.44","88.71","89.34","85.70","20.18K","0.44%"
"09/27/2022","90.04","88.75","91.85","87.55","19.31K","-0.31%"
"09/26/2022","90.32","92.50","93.74","88.24","24.26K","-4.41%"
"09/23/2022","94.49","98.26","98.26","94.19","0.00K","-2.42%"
"09/22/2022","96.83","97.45","98.70","96.56","0.05K","-0.43%"
"09/21/2022","97.25","94.31","97.54","94.31","0.04K","3.97%"
"09/20/2022","93.54","95.39","95.39","94.01","0.01K","-4.10%"
"09/19/2022","97.54","99.10","99.74","94.35","25.70K","-3.65%"
"09/16/2022","101.24","102.45","102.45","102.45","0.01K","-3.80%"
"09/15/2022","105.24","103.00","104.17","101.98","11.19K","-1.73%"
"09/14/2022","107.09","105.98","105.98","105.98","0.00K","0.72%"
"09/13/2022","106.32","108.34","108.34","106.49","0.01K","-3.53%"
