"Date","Price","Open","High","Low","Vol.","Change %"
"09/30/2022","106.46","103.64","106.70","103.51","9.23M","2.56%"
"09/29/2022","103.80","103.71","104.36","102.43","7.23M","-0.97%"
"09/28/2022","104.82","104.62","105.21","104.07","6.31M","0.13%"
"09/27/2022","104.68","106.45","106.45","104.34","8.03M","-0.43%"
"09/26/2022","105.13","107.00","107.33","105.13","8.07M","-2.51%"
"09/23/2022","107.84","108.21","108.54","106.84","6.41M","-2.08%"
"09/22/2022","110.13","109.58","110.47","107.88","7.09M","1.82%"
"09/21/2022","108.16","108.90","109.42","107.41","9.38M","-0.63%"
"09/20/2022","108.85","108.50","108.85","107.45","7.46M","0.58%"
"09/19/2022","108.22","104.83","108.22","104.66","6.62M","2.48%"
"09/16/2022","105.60","105.19","105.76","104.72","8.92M","-0.48%"
"09/15/2022","106.11","106.76","107.26","105.62","4.79M","-0.60%"
"09/14/2022","106.75","106.69","107.59","106.22","3.65M","-0.21%"
"09/13/2022","106.98","107.94","108.85","106.61","5.06M","-2.35%"
"09/12/2022","109.55","109.60","110.19","109.30","4.47M","1.06%"
"09/09/2022","108.40","107.54","108.58","107.28","8.40M","2.09%"
"09/08/2022","106.18","106.11","106.91","104.76","6.30M","0.22%"
"09/06/2022","105.95","106.93","107.08","105.51","4.46M","-2.31%"
"09/05/2022","108.45","108.27","108.69","107.78","4.09M","1.27%"
"09/02/2022","107.09","107.36","108.42","106.71","6.38M","0.47%"
"09/01/2022","106.59","106.07","106.59","104.43","4.56M","0.72%"
"08/31/2022","105.83","106.83","107.52","105.70","5.12M","-0.54%"
"08/30/2022","106.40","108.70","108.90","106.25","4.96M","-1.85%"
"08/29/2022","108.40","107.91","109.29","107.86","7.29M","0.04%"
"08/26/2022","108.36","110.08","110.19","108.00","6.84M","-1.13%"
"08/25/2022","109.60","109.83","110.09","108.83","3.24M","0.38%"
"08/24/2022","109.18","108.93","109.90","108.66","4.76M","0.07%"
"08/23/2022","109.10","107.04","109.10","107.04","8.72M","2.22%"
"08/22/2022","106.73","106.76","107.15","106.09","8.24M","-0.74%"
"08/19/2022","107.53","108.82","109.00","107.35","11.32M","-2.19%"
"08/18/2022","109.94","110.16","110.31","109.35","5.27M","-0.05%"
"08/17/2022","109.99","108.70","110.22","108.62","9.36M","0.21%"
"08/16/2022","109.76","109.00","109.76","108.75","5.69M","0.72%"
"08/15/2022","108.97","107.55","109.24","107.10","7.77M","0.30%"
"08/12/2022","108.64","106.77","108.64","106.31","8.63M","2.61%"
"08/11/2022","105.88","107.31","107.55","105.76","10.52M","-0.64%"
"08/10/2022","106.56","106.21","106.56","105.59","9.04M","1.44%"
"08/09/2022","105.05","105.44","105.44","104.04","5.30M","0.24%"
"08/08/2022","104.80","103.35","104.80","103.29","9.83M","2.01%"
"08/05/2022","102.74","102.35","103.41","101.76","9.96M","0.25%"
"08/04/2022","102.48","100.96","102.48","100.93","8.66M","2.28%"
